date,IS_t_pos,IS_t_neg,IS_t
2014-01-01,0.8888888888888888,0.0,0.8888888888888888
2014-01-02,0.7647058823529411,0.20588235294117646,0.5588235294117647
2014-01-03,0.7727272727272727,0.18181818181818182,0.5909090909090909
2014-01-06,0.75,0.20833333333333334,0.5416666666666666
2014-01-07,0.8064516129032258,0.12903225806451613,0.6774193548387096
2014-01-08,0.9166666666666666,0.0,0.9166666666666666
2014-01-09,0.8,0.1,0.7
2014-01-10,0.8076923076923077,0.15384615384615385,0.6538461538461539
2014-01-13,0.6,0.3333333333333333,0.26666666666666666
2014-01-14,0.76,0.16,0.6
2014-01-15,0.7692307692307693,0.1794871794871795,0.5897435897435898
2014-01-16,0.7692307692307693,0.19230769230769232,0.5769230769230769
2014-01-17,0.0,0.0,0.0
2014-01-20,0.6666666666666666,0.0,0.6666666666666666
2014-01-21,0.7857142857142857,0.14285714285714285,0.6428571428571429
2014-01-22,0.6944444444444444,0.2222222222222222,0.4722222222222222
2014-01-23,0.8620689655172413,0.10344827586206896,0.7586206896551724
2014-01-24,0.8333333333333334,0.11904761904761904,0.7142857142857143
2014-01-27,0.8,0.1368421052631579,0.6631578947368421
2014-01-28,0.7596899224806202,0.20930232558139536,0.5503875968992248
2014-01-29,0.6976744186046512,0.27906976744186046,0.4186046511627907
2014-01-30,0.7727272727272727,0.18181818181818182,0.5909090909090909
2014-01-31,0.9473684210526315,0.0,0.9473684210526315
2014-02-03,0.9,0.05,0.85
2014-02-04,0.9545454545454546,0.0,0.9545454545454546
2014-02-05,0.8947368421052632,0.05263157894736842,0.8421052631578947
2014-02-06,0.7333333333333333,0.13333333333333333,0.6
2014-02-07,0.8928571428571429,0.08928571428571429,0.8035714285714286
2014-02-10,0.8333333333333334,0.1,0.7333333333333333
2014-02-11,0.9090909090909091,0.045454545454545456,0.8636363636363636
2014-02-12,0.8333333333333334,0.1111111111111111,0.7222222222222222
2014-02-13,0.8064516129032258,0.16129032258064516,0.6451612903225806
2014-02-14,0.9444444444444444,0.0,0.9444444444444444
2014-02-17,0.875,0.0625,0.8125
2014-02-18,0.8529411764705882,0.08823529411764706,0.7647058823529411
2014-02-19,0.8421052631578947,0.10526315789473684,0.7368421052631579
2014-02-20,0.8695652173913043,0.08695652173913043,0.782608695652174
2014-02-21,0.8275862068965517,0.13793103448275862,0.6896551724137931
2014-02-24,0.9230769230769231,0.0,0.9230769230769231
2014-02-25,0.8260869565217391,0.08695652173913043,0.7391304347826086
2014-02-26,0.6666666666666666,0.2777777777777778,0.3888888888888889
2014-02-27,0.85,0.125,0.725
2014-02-28,0.8108108108108109,0.16216216216216217,0.6486486486486487
2014-03-03,0.8,0.13333333333333333,0.6666666666666666
